Area,Price,Room,Room_Area,Lon,Lat,Zona
64,685000.0,3,21.33333333333333,4.907736,52.356157,3
60,475000.0,3,20.0,4.850476,52.348586,0
109,850000.0,4,27.25,4.944774,52.343782,1
138,720000.0,5,27.6,4.902503,52.410538,4
53,450000.0,2,26.5,4.875024,52.382228,0
87,450000.0,3,29.0,4.896536,52.410585,4
80,590000.0,2,40.0,4.871555,52.371041,0
49,399000.0,3,16.333333333333332,4.854671,52.363471,0
33,300000.0,2,16.5,4.897142,52.353111,3
69,540000.0,3,23.0,4.851985,52.351244,0
88,539000.0,3,29.33333333333333,4.942972,52.377442,4
45,390000.0,3,15.0,4.908173,52.356446,3
70,575000.0,2,35.0,4.897782,52.366928,3
86,650000.0,3,28.666666666666668,4.909361,52.356532,3
105,475000.0,5,21.0,4.900926,52.408311,4
78,325000.0,3,26.0,4.829644,52.372068,2
100,399000.0,3,33.333333333333336,4.949572,52.317294,1
52,375000.0,3,17.333333333333332,4.872555,52.392426,0
71,575000.0,3,23.666666666666668,4.891161,52.351082,3
114,600000.0,4,28.5,4.837666,52.362011,0
75,525000.0,3,25.0,4.945438,52.361355,4
110,350000.0,5,22.0,4.921574,52.408269,4
89,350000.0,3,29.666666666666668,4.88516,52.423543,0
134,575000.0,5,26.8,4.887858,52.332103,3
51,375000.0,3,17.0,4.862875,52.373735,0
37,325000.0,2,18.5,4.889539,52.351732,3
98,800000.0,3,32.666666666666664,4.900342,52.346366,3
258,1950000.0,4,64.5,4.887444,52.385346,3
83,735000.0,3,27.666666666666668,4.86109,52.344643,0
74,475000.0,3,24.666666666666668,4.865792,52.365372,0
31,275000.0,2,15.5,4.883566,52.330963,3
47,375000.0,2,23.5,4.899509,52.352717,3
63,570000.0,3,21.0,4.85856,52.359929,0
43,375000.0,2,21.5,4.921855,52.368922,4
49,365000.0,3,16.333333333333332,4.854277,52.371899,0
62,550000.0,3,20.666666666666668,4.874257,52.369627,0
91,325000.0,4,22.75,4.987296,52.300656,1
50,429000.0,3,16.666666666666668,4.907585,52.363609,3
120,650000.0,4,30.0,4.924306,52.36344,4
55,350000.0,3,18.33333333333333,4.847389,52.373198,0
79,475000.0,3,26.33333333333333,4.942841,52.362693,4
99,325000.0,3,33.0,4.981149,52.314,1
82,425000.0,3,27.33333333333333,4.83186,52.364372,2
77,350000.0,4,19.25,4.948371,52.392858,4
81,350000.0,3,27.0,4.837764,52.363887,0
93,375000.0,4,23.25,4.815101,52.356914,2
73,450000.0,3,24.33333333333333,4.877698,52.388468,0
160,1185000.0,5,32.0,4.892374,52.363383,3
74,385000.0,3,24.666666666666668,4.91913,52.406915,4
86,687500.0,4,21.5,4.855875,52.352448,0
52,585000.0,4,13.0,4.891858,52.42145,4
145,1295000.0,5,29.0,4.89952,52.367261,3
61,375000.0,3,20.33333333333333,4.851777,52.379483,0
86,500000.0,4,21.5,4.944196,52.366168,4
78,300000.0,4,19.5,4.951093,52.393956,4
52,375000.0,4,13.0,4.86106,52.376873,0
51,400000.0,2,25.5,4.85633,52.36355,0
117,850000.0,5,23.4,4.889851,52.347518,3
72,550000.0,3,24.0,4.859628,52.359026,0
56,275000.0,2,28.0,4.959199,52.395846,4
54,330000.0,3,18.0,4.848563,52.381715,0
102,700000.0,3,34.0,4.969203,52.372762,4
72,500000.0,2,36.0,4.922788,52.342942,3
47,369000.0,3,15.666666666666666,4.933378,52.364949,4
68,245000.0,3,22.666666666666668,4.9688878,52.2923239,1
65,350000.0,4,16.25,4.885364,52.412066,0
69,425000.0,3,23.0,4.850643,52.379711,0
147,604447.4074074074,3,49.0,4.897454,52.360707,3
94,375000.0,4,23.5,4.800745,52.379133,2
92,335000.0,4,23.0,4.936896,52.394478,4
56,450000.0,3,18.666666666666668,4.888332,52.349498,3
101,395000.0,5,20.2,4.993551,52.292948,1
45,300000.0,2,22.5,4.87065,52.37314,0
84,450000.0,3,28.0,4.944032,52.365457,4
51,415000.0,2,25.5,4.853803,52.366082,0
67,650000.0,4,16.75,4.901713,52.360545,3
52,425000.0,2,26.0,4.876149,52.390376,0
67,469000.0,2,33.5,4.882743,52.382746,0
73,485000.0,4,18.25,4.924634,52.368555,4
29,285000.0,2,14.5,4.880046,52.384661,0
97,995000.0,2,48.5,4.884982,52.369202,3
220,1475000.0,5,44.0,4.920481,52.366984,3
60,475000.0,3,20.0,4.868057,52.370073,0
124,475000.0,5,24.8,4.837522,52.364821,0
56,395000.0,2,28.0,4.848779,52.348138,0
47,375000.0,2,23.5,4.896579,52.372127,3
37,400000.0,2,18.5,4.855832,52.352385,0
42,325000.0,2,21.0,4.879081,52.390874,0
53,400000.0,3,17.666666666666668,4.864958,52.343986,0
80,475000.0,3,26.666666666666668,4.868693,52.343328,0
68,425000.0,3,22.666666666666668,4.944251,52.352317,4
101,375000.0,3,33.666666666666664,4.819711,52.379837,2
47,365000.0,2,23.5,4.871178,52.382031,0
67,500000.0,3,22.33333333333333,4.926673,52.356043,3
92,450000.0,3,30.666666666666668,4.835487,52.353658,0
95,725000.0,3,31.666666666666668,4.886006,52.377377,3
52,225000.0,2,26.0,4.976804,52.325544,1
55,375000.0,3,18.33333333333333,4.862201,52.373597,0
74,495000.0,3,24.666666666666668,4.867549,52.384604,0
58,475000.0,3,19.33333333333333,4.885902,52.363158,3
53,450000.0,2,26.5,4.882472,52.365273,3
66,475000.0,3,22.0,4.910224,52.347296,3
62,475000.0,3,20.666666666666668,4.848941,52.351734,0
61,345000.0,3,20.33333333333333,4.798199,52.362969,2
78,369000.0,3,26.0,4.841525,52.35007,0
91,320000.0,4,22.75,4.983191,52.294198,1
66,465000.0,3,22.0,4.917899,52.386198,4
35,340000.0,2,17.5,4.898311,52.373509,3
111,375000.0,5,22.2,4.970987,52.301346,1
93,595000.0,3,31.0,4.910003,52.356903,3
92,525000.0,3,30.666666666666668,4.936101,52.371484,4
61,245000.0,3,20.33333333333333,4.789682,52.355404,2
85,275000.0,4,21.25,4.95037,52.399252,4
72,575000.0,2,36.0,4.931839,52.369014,4
70,250000.0,3,23.33333333333333,4.968806,52.291803,1
165,975000.0,5,33.0,4.946186,52.373257,4
52,375000.0,2,26.0,4.875248,52.376809,0
159,1100000.0,5,31.8,4.919919,52.338283,3
