Area,Price,Room,Room_Area,Lon,Lat
64,685000.0,3,21.333333333333332,4.907736,52.356157
60,475000.0,3,20.0,4.850476,52.348586
109,850000.0,4,27.25,4.944774,52.343782
138,720000.0,5,27.6,4.902503,52.410538
53,450000.0,2,26.5,4.875024,52.382228
87,450000.0,3,29.0,4.896536,52.410585
80,590000.0,2,40.0,4.871555,52.371041
49,399000.0,3,16.333333333333332,4.854671,52.363471
33,300000.0,2,16.5,4.897142,52.353111
69,540000.0,3,23.0,4.851985,52.351244
88,539000.0,3,29.333333333333332,4.942972,52.377442
45,390000.0,3,15.0,4.908173,52.356446
70,575000.0,2,35.0,4.897782,52.366928
86,650000.0,3,28.666666666666668,4.909361,52.356532
105,475000.0,5,21.0,4.900926,52.408311
78,325000.0,3,26.0,4.829644,52.372068
100,399000.0,3,33.333333333333336,4.949572,52.317294
52,375000.0,3,17.333333333333332,4.872555,52.392426
71,575000.0,3,23.666666666666668,4.891161,52.351082
114,600000.0,4,28.5,4.837666,52.362011
75,525000.0,3,25.0,4.945438,52.361355
110,350000.0,5,22.0,4.921574,52.408269
89,350000.0,3,29.666666666666668,4.88516,52.423543
134,575000.0,5,26.8,4.887858,52.332103
51,375000.0,3,17.0,4.862875,52.373735
37,325000.0,2,18.5,4.889539,52.351732
98,800000.0,3,32.666666666666664,4.900342,52.346366
258,1950000.0,4,64.5,4.887444,52.385346
83,735000.0,3,27.666666666666668,4.86109,52.344643
74,475000.0,3,24.666666666666668,4.865792,52.365372
31,275000.0,2,15.5,4.883566,52.330963
47,375000.0,2,23.5,4.899509,52.352717
63,570000.0,3,21.0,4.85856,52.359929
43,375000.0,2,21.5,4.921855,52.368922
49,365000.0,3,16.333333333333332,4.854277,52.371899
62,550000.0,3,20.666666666666668,4.874257,52.369627
91,325000.0,4,22.75,4.987296,52.300656
50,429000.0,3,16.666666666666668,4.907585,52.363609
120,650000.0,4,30.0,4.924306,52.36344
55,350000.0,3,18.333333333333332,4.847389,52.373198
79,475000.0,3,26.333333333333332,4.942841,52.362693
99,325000.0,3,33.0,4.981149,52.314
82,425000.0,3,27.333333333333332,4.83186,52.364372
77,350000.0,4,19.25,4.948371,52.392858
81,350000.0,3,27.0,4.837764,52.363887
93,375000.0,4,23.25,4.815101,52.356914
73,450000.0,3,24.333333333333332,4.877698,52.388468
160,1185000.0,5,32.0,4.892374,52.363383
74,385000.0,3,24.666666666666668,4.91913,52.406915
86,687500.0,4,21.5,4.855875,52.352448
52,585000.0,4,13.0,4.891858,52.42145
145,1295000.0,5,29.0,4.89952,52.367261
61,375000.0,3,20.333333333333332,4.851777,52.379483
86,500000.0,4,21.5,4.944196,52.366168
78,300000.0,4,19.5,4.951093,52.393956
52,375000.0,4,13.0,4.86106,52.376873
51,400000.0,2,25.5,4.85633,52.36355
117,850000.0,5,23.4,4.889851,52.347518
72,550000.0,3,24.0,4.859628,52.359026
56,275000.0,2,28.0,4.959199,52.395846
54,330000.0,3,18.0,4.848563,52.381715
102,700000.0,3,34.0,4.969203,52.372762
72,500000.0,2,36.0,4.922788,52.342942
47,369000.0,3,15.666666666666666,4.933378,52.364949
68,245000.0,3,22.666666666666668,4.9688878,52.2923239
65,350000.0,4,16.25,4.885364,52.412066
69,425000.0,3,23.0,4.850643,52.379711
147,604447.4074074074,3,49.0,4.897454,52.360707
94,375000.0,4,23.5,4.800745,52.379133
92,335000.0,4,23.0,4.936896,52.394478
56,450000.0,3,18.666666666666668,4.888332,52.349498
101,395000.0,5,20.2,4.993551,52.292948
45,300000.0,2,22.5,4.87065,52.37314
84,450000.0,3,28.0,4.944032,52.365457
51,415000.0,2,25.5,4.853803,52.366082
67,650000.0,4,16.75,4.901713,52.360545
52,425000.0,2,26.0,4.876149,52.390376
67,469000.0,2,33.5,4.882743,52.382746
73,485000.0,4,18.25,4.924634,52.368555
29,285000.0,2,14.5,4.880046,52.384661
97,995000.0,2,48.5,4.884982,52.369202
220,1475000.0,5,44.0,4.920481,52.366984
60,475000.0,3,20.0,4.868057,52.370073
124,475000.0,5,24.8,4.837522,52.364821
56,395000.0,2,28.0,4.848779,52.348138
47,375000.0,2,23.5,4.896579,52.372127
37,400000.0,2,18.5,4.855832,52.352385
42,325000.0,2,21.0,4.879081,52.390874
53,400000.0,3,17.666666666666668,4.864958,52.343986
80,475000.0,3,26.666666666666668,4.868693,52.343328
68,425000.0,3,22.666666666666668,4.944251,52.352317
101,375000.0,3,33.666666666666664,4.819711,52.379837
47,365000.0,2,23.5,4.871178,52.382031
67,500000.0,3,22.333333333333332,4.926673,52.356043
92,450000.0,3,30.666666666666668,4.835487,52.353658
95,725000.0,3,31.666666666666668,4.886006,52.377377
52,225000.0,2,26.0,4.976804,52.325544
55,375000.0,3,18.333333333333332,4.862201,52.373597
74,495000.0,3,24.666666666666668,4.867549,52.384604
58,475000.0,3,19.333333333333332,4.885902,52.363158
53,450000.0,2,26.5,4.882472,52.365273
66,475000.0,3,22.0,4.910224,52.347296
62,475000.0,3,20.666666666666668,4.848941,52.351734
61,345000.0,3,20.333333333333332,4.798199,52.362969
78,369000.0,3,26.0,4.841525,52.35007
91,320000.0,4,22.75,4.983191,52.294198
66,465000.0,3,22.0,4.917899,52.386198
35,340000.0,2,17.5,4.898311,52.373509
111,375000.0,5,22.2,4.970987,52.301346
93,595000.0,3,31.0,4.910003,52.356903
92,525000.0,3,30.666666666666668,4.936101,52.371484
61,245000.0,3,20.333333333333332,4.789682,52.355404
85,275000.0,4,21.25,4.95037,52.399252
72,575000.0,2,36.0,4.931839,52.369014
70,250000.0,3,23.333333333333332,4.968806,52.291803
165,975000.0,5,33.0,4.946186,52.373257
52,375000.0,2,26.0,4.875248,52.376809
159,1100000.0,5,31.8,4.919919,52.338283
102,750000.0,3,34.0,4.877406,52.394832
55,439000.0,3,18.333333333333332,4.90487,52.374978
57,375000.0,2,28.5,4.91638,52.352165
66,445000.0,3,22.0,4.909207,52.369475
77,325000.0,4,19.25,4.947655,52.395417
57,415000.0,2,28.5,4.865612,52.373199
43,300000.0,2,21.5,4.868786,52.365466
88,915000.0,5,17.6,4.887412,52.377742
50,350000.0,3,16.666666666666668,4.85167,52.366405
135,1025000.0,4,33.75,4.875881,52.347368
177,895000.0,4,44.25,4.924895,52.373122
59,350000.0,2,29.5,4.84399,52.362946
65,265000.0,3,21.666666666666668,4.81787,52.383684
100,500000.0,4,25.0,4.802122,52.346011
106,295000.0,4,26.5,4.977496,52.295032
113,995000.0,3,37.666666666666664,4.888199,52.374321
54,385000.0,2,27.0,4.889927,52.348587
89,550000.0,4,22.25,4.870523,52.365141
40,325000.0,2,20.0,4.862992,52.365
62,225000.0,2,31.0,4.957403,52.309773
66,395000.0,3,22.0,4.885793,52.324797
102,425000.0,4,25.5,4.789341,52.380775
64,525000.0,4,16.0,4.878779,52.368556
88,400000.0,4,22.0,4.80651,52.359451
50,250000.0,2,25.0,4.959052,52.3958
41,360000.0,2,20.5,4.873624,52.382635
154,1050000.0,4,38.5,4.968819,52.373001
50,290000.0,2,25.0,4.834901,52.378363
50,469000.0,3,16.666666666666668,4.893043,52.37844
74,625000.0,3,24.666666666666668,4.89965,52.366621
79,540000.0,4,19.75,4.88439,52.413734
96,285000.0,4,24.0,4.972596,52.317512
168,859000.0,3,56.0,5.016505,52.350556
63,275000.0,2,31.5,4.93924,52.396536
73,375000.0,4,18.25,4.826759,52.356709
89,399500.0,2,44.5,4.807068,52.362692
103,430000.0,4,25.75,4.807703,52.363646
141,1300000.0,4,35.25,4.904363,52.333206
130,1750000.0,3,43.333333333333336,4.872151,52.336348
109,950000.0,4,27.25,4.879612,52.377871
150,1450000.0,3,50.0,4.88987,52.370706
69,285000.0,3,23.0,4.979002,52.318782
54,300000.0,2,27.0,4.846858,52.384197
166,1500000.0,4,41.5,4.857216,52.325762
107,685000.0,4,26.75,4.868754,52.341846
178,4495000.0,5,35.6,4.89429,52.373106
171,989000.0,5,34.2,4.893261,52.419532
100,765000.0,4,25.0,4.964853,52.409986
118,665000.0,4,29.5,4.938738,52.356081
183,2475000.0,4,45.75,4.897473,52.358943
98,475000.0,4,24.5,4.83852,52.379072
78,300000.0,4,19.5,4.950977,52.393821
103,350000.0,4,25.75,4.809689,52.378
45,450000.0,2,22.5,4.9064,52.358857
145,600000.0,4,36.25,4.799931,52.334488
39,350000.0,2,19.5,4.874462,52.38503
100,595000.0,3,33.333333333333336,4.84313,52.359998
42,335000.0,2,21.0,4.862224,52.364187
154,1295000.0,4,38.5,4.867645,52.348806
103,825000.0,3,34.333333333333336,4.885645,52.35602
85,325000.0,4,21.25,4.976098,52.308383
115,450000.0,3,38.333333333333336,4.798695,52.352124
125,1450000.0,2,62.5,4.891701,52.367182
99,585000.0,3,33.0,4.835845,52.366451
105,1200000.0,4,26.25,4.886034,52.379546
153,1550000.0,5,30.6,4.88242,52.360824
147,1250000.0,4,36.75,4.891955,52.38514
121,998000.0,2,60.5,4.891161,52.378843
54,395000.0,3,18.0,4.857567,52.370557
85,935000.0,3,28.333333333333332,4.8887,52.365003
63,1050000.0,3,21.0,4.90885,52.365524
110,729000.0,5,22.0,4.90132,52.375059
130,699000.0,5,26.0,4.788762,52.344183
25,400000.0,2,12.5,4.962333,52.362891
102,550000.0,4,25.5,4.858163,52.379474
93,975000.0,3,31.0,4.882903,52.354535
79,295000.0,3,26.333333333333332,4.807977,52.357443
71,350000.0,4,17.75,4.803337,52.378625
110,685000.0,4,27.5,4.901539,52.333097
